Rank,Name,Title,Country,Rating,Games,Year,Age,Date,Margin
1,"Kasparov, Garry",g,RUS,2849,35,2000,37,2000-07-01,79.0
2,"Kramnik, Vladimir",g,RUS,2770,23,2000,25,2000-07-01,0.0
1,"Kasparov, Garry",g,RUS,2849,0,2000,37,2000-10-01,75.0
2,"Anand, Viswanathan",g,IND,2774,19,2000,31,2000-10-01,0.0
1,"Kasparov, Garry",g,RUS,2849,0,2001,38,2001-01-01,59.0
2,"Anand, Viswanathan",g,IND,2790,16,2001,32,2001-01-01,0.0
1,"Kasparov, Garry",g,RUS,2827,38,2001,38,2001-04-01,25.0
2,"Kramnik, Vladimir",g,RUS,2802,28,2001,26,2001-04-01,0.0
1,"Kasparov, Garry",g,RUS,2838,10,2001,38,2001-07-01,36.0
2,"Kramnik, Vladimir",g,RUS,2802,10,2001,26,2001-07-01,0.0
1,"Kasparov, Garry",g,RUS,2838,0,2001,38,2001-10-01,29.0
2,"Kramnik, Vladimir",g,RUS,2809,10,2001,26,2001-10-01,0.0
1,"Kasparov, Garry",g,RUS,2838,0,2002,39,2002-01-01,29.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2002,27,2002-01-01,0.0
1,"Kasparov, Garry",g,RUS,2838,12,2002,39,2002-04-01,29.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2002,27,2002-04-01,0.0
1,"Kasparov, Garry",g,RUS,2838,0,2002,39,2002-07-01,31.0
2,"Kramnik, Vladimir",g,RUS,2807,3,2002,27,2002-07-01,0.0
1,"Kasparov, Garry",g,RUS,2836,0,2002,39,2002-10-01,27.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2002,27,2002-10-01,0.0
1,"Kasparov, Garry",g,RUS,2847,9,2003,40,2003-01-01,38.0
2,"Kramnik, Vladimir",g,RUS,2809,0,2003,28,2003-01-01,0.0
1,"Kasparov, Garry",g,RUS,2830,12,2003,40,2003-04-01,41.0
2,"Kramnik, Vladimir",g,RUS,2789,25,2003,28,2003-04-01,0.0
1,"Kasparov, Garry",g,RUS,2830,0,2003,40,2003-07-01,45.0
2,"Kramnik, Vladimir",g,RUS,2785,2,2003,28,2003-07-01,0.0
1,"Kasparov, Garry",g,RUS,2830,0,2003,40,2003-10-01,53.0
2,"Kramnik, Vladimir",g,RUS,2777,11,2003,28,2003-10-01,0.0
1,"Kasparov, Garry",g,RUS,2831,6,2004,41,2004-01-01,54.0
2,"Kramnik, Vladimir",g,RUS,2777,0,2004,29,2004-01-01,0.0
1,"Kasparov, Garry",g,RUS,2817,12,2004,41,2004-04-01,43.0
2,"Anand, Viswanathan",g,IND,2774,13,2004,35,2004-04-01,0.0
1,"Kasparov, Garry",g,RUS,2817,0,2004,41,2004-07-01,35.0
2,"Anand, Viswanathan",g,IND,2782,9,2004,35,2004-07-01,0.0
1,"Kasparov, Garry",g,RUS,2813,6,2004,41,2004-10-01,32.0
2,"Anand, Viswanathan",g,IND,2781,16,2004,35,2004-10-01,0.0
1,"Kasparov, Garry",g,RUS,2804,16,2005,42,2005-01-01,18.0
2,"Anand, Viswanathan",g,IND,2786,11,2005,36,2005-01-01,0.0
1,"Kasparov, Garry",g,RUS,2812,12,2005,42,2005-04-01,27.0
2,"Anand, Viswanathan",g,IND,2785,25,2005,36,2005-04-01,0.0
1,"Kasparov, Garry",g,RUS,2812,0,2005,42,2005-07-01,24.0
2,"Anand, Viswanathan",g,IND,2788,18,2005,36,2005-07-01,0.0
1,"Kasparov, Garry",g,RUS,2812,0,2005,42,2005-10-01,24.0
2,"Anand, Viswanathan",g,IND,2788,0,2005,36,2005-10-01,0.0
1,"Kasparov, Garry",g,RUS,2812,0,2006,43,2006-01-01,11.0
2,"Topalov, Veselin",g,BUL,2801,14,2006,31,2006-01-01,0.0
1,"Topalov, Veselin",g,BUL,2804,27,2006,31,2006-04-01,1.0
2,"Anand, Viswanathan",g,IND,2803,13,2006,37,2006-04-01,0.0
1,"Topalov, Veselin",g,BUL,2813,14,2006,31,2006-07-01,34.0
2,"Anand, Viswanathan",g,IND,2779,26,2006,37,2006-07-01,0.0
1,"Topalov, Veselin",g,BUL,2813,0,2006,31,2006-10-01,34.0
2,"Anand, Viswanathan",g,IND,2779,0,2006,37,2006-10-01,0.0
1,"Topalov, Veselin",g,BUL,2783,17,2007,32,2007-01-01,4.0
2,"Anand, Viswanathan",g,IND,2779,0,2007,38,2007-01-01,0.0
1,"Anand, Viswanathan",g,IND,2786,27,2007,38,2007-04-01,14.0
2,"Topalov, Veselin",g,BUL,2772,27,2007,32,2007-04-01,0.0
1,"Anand, Viswanathan",g,IND,2792,4,2007,38,2007-07-01,23.0
2,"Topalov, Veselin",g,BUL,2769,10,2007,32,2007-07-01,0.0
1,"Anand, Viswanathan",g,IND,2801,21,2007,38,2007-10-01,14.0
2,"Ivanchuk, Vassily",g,UKR,2787,20,2007,38,2007-10-01,0.0
1,"Kramnik, Vladimir",g,RUS,2799,9,2008,33,2008-01-01,0.0
2,"Anand, Viswanathan",g,IND,2799,3,2008,39,2008-01-01,0.0
1,"Anand, Viswanathan",g,IND,2803,27,2008,39,2008-04-01,15.0
2,"Kramnik, Vladimir",g,RUS,2788,13,2008,33,2008-04-01,0.0
1,"Anand, Viswanathan",g,IND,2798,2,2008,39,2008-07-01,10.0
2,"Morozevich, Alexander",g,RUS,2788,20,2008,31,2008-07-01,0.0
1,"Topalov, Veselin",g,BUL,2791,10,2008,33,2008-10-01,4.0
2,"Morozevich, Alexander",g,RUS,2787,9,2008,31,2008-10-01,0.0
1,"Topalov, Veselin",g,BUL,2796,8,2009,34,2009-01-01,5.0
2,"Anand, Viswanathan",g,IND,2791,11,2009,40,2009-01-01,0.0
1,"Topalov, Veselin",g,BUL,2812,17,2009,34,2009-04-01,29.0
2,"Anand, Viswanathan",g,IND,2783,14,2009,40,2009-04-01,0.0
1,"Topalov, Veselin",g,BUL,2813,10,2009,34,2009-07-01,25.0
2,"Anand, Viswanathan",g,IND,2788,2,2009,40,2009-07-01,0.0
1,"Topalov, Veselin",g,BUL,2813,0,2009,34,2009-09-01,25.0
2,"Anand, Viswanathan",g,IND,2788,0,2009,40,2009-09-01,0.0
1,"Topalov, Veselin",g,BUL,2810,10,2009,34,2009-11-01,9.0
2,"Carlsen, Magnus",g,NOR,2801,10,2009,19,2009-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2810,16,2010,20,2010-01-01,5.0
2,"Topalov, Veselin",g,BUL,2805,4,2010,35,2010-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2813,13,2010,20,2010-03-01,8.0
2,"Topalov, Veselin",g,BUL,2805,0,2010,35,2010-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2813,0,2010,20,2010-05-01,1.0
2,"Topalov, Veselin",g,BUL,2812,10,2010,35,2010-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2826,10,2010,20,2010-07-01,23.0
2,"Topalov, Veselin",g,BUL,2803,12,2010,35,2010-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2826,0,2010,20,2010-09-01,23.0
2,"Topalov, Veselin",g,BUL,2803,0,2010,35,2010-09-01,0.0
1,"Anand, Viswanathan",g,IND,2804,6,2010,41,2010-11-01,2.0
2,"Carlsen, Magnus",g,NOR,2802,14,2010,20,2010-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2814,17,2011,21,2011-01-01,4.0
2,"Anand, Viswanathan",g,IND,2810,17,2011,42,2011-01-01,0.0
1,"Anand, Viswanathan",g,IND,2817,13,2011,42,2011-03-01,2.0
2,"Carlsen, Magnus",g,NOR,2815,13,2011,21,2011-03-01,0.0
1,"Anand, Viswanathan",g,IND,2817,0,2011,42,2011-05-01,2.0
2,"Carlsen, Magnus",g,NOR,2815,0,2011,21,2011-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2821,10,2011,21,2011-07-01,4.0
2,"Anand, Viswanathan",g,IND,2817,0,2011,42,2011-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2823,10,2011,21,2011-09-01,6.0
2,"Anand, Viswanathan",g,IND,2817,0,2011,42,2011-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2826,10,2011,21,2011-11-01,15.0
2,"Anand, Viswanathan",g,IND,2811,10,2011,42,2011-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2835,17,2012,22,2012-01-01,30.0
2,"Aronian, Levon",g,ARM,2805,25,2012,30,2012-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2835,13,2012,22,2012-03-01,15.0
2,"Aronian, Levon",g,ARM,2820,13,2012,30,2012-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2835,0,2012,22,2012-05-01,10.0
2,"Aronian, Levon",g,ARM,2825,3,2012,30,2012-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2837,9,2012,22,2012-07-01,21.0
2,"Aronian, Levon",g,ARM,2816,15,2012,30,2012-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2837,0,2012,22,2012-08-01,21.0
2,"Aronian, Levon",g,ARM,2816,0,2012,30,2012-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,10,2012,22,2012-09-01,27.0
2,"Aronian, Levon",g,ARM,2816,0,2012,30,2012-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,0,2012,22,2012-10-01,22.0
2,"Aronian, Levon",g,ARM,2821,10,2012,30,2012-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2848,10,2012,22,2012-11-01,33.0
2,"Aronian, Levon",g,ARM,2815,10,2012,30,2012-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2848,0,2012,22,2012-12-01,33.0
2,"Aronian, Levon",g,ARM,2815,0,2012,30,2012-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2861,8,2013,23,2013-01-01,51.0
2,"Kramnik, Vladimir",g,RUS,2810,8,2013,38,2013-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,13,2013,23,2013-02-01,62.0
2,"Kramnik, Vladimir",g,RUS,2810,0,2013,38,2013-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,0,2013,23,2013-03-01,62.0
2,"Kramnik, Vladimir",g,RUS,2810,0,2013,38,2013-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,0,2013,23,2013-04-01,63.0
2,"Aronian, Levon",g,ARM,2809,0,2013,31,2013-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2868,14,2013,23,2013-05-01,55.0
2,"Aronian, Levon",g,ARM,2813,16,2013,31,2013-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2864,9,2013,23,2013-06-01,51.0
2,"Aronian, Levon",g,ARM,2813,18,2013,31,2013-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,9,2013,23,2013-07-01,49.0
2,"Aronian, Levon",g,ARM,2813,0,2013,31,2013-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2013,23,2013-08-01,49.0
2,"Aronian, Levon",g,ARM,2813,0,2013,31,2013-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2013,23,2013-09-01,49.0
2,"Aronian, Levon",g,ARM,2813,0,2013,31,2013-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2870,6,2013,23,2013-10-01,74.0
2,"Kramnik, Vladimir",g,RUS,2796,16,2013,38,2013-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2870,0,2013,23,2013-11-01,69.0
2,"Aronian, Levon",g,ARM,2801,6,2013,31,2013-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,10,2013,23,2013-12-01,69.0
2,"Aronian, Levon",g,ARM,2803,9,2013,31,2013-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,0,2014,24,2014-01-01,60.0
2,"Aronian, Levon",g,ARM,2812,8,2014,32,2014-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,0,2014,24,2014-02-01,46.0
2,"Aronian, Levon",g,ARM,2826,11,2014,32,2014-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2881,5,2014,24,2014-03-01,51.0
2,"Aronian, Levon",g,ARM,2830,5,2014,32,2014-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2881,0,2014,24,2014-04-01,69.0
2,"Aronian, Levon",g,ARM,2812,14,2014,32,2014-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2882,1,2014,24,2014-05-01,67.0
2,"Aronian, Levon",g,ARM,2815,3,2014,32,2014-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2881,10,2014,24,2014-06-01,66.0
2,"Aronian, Levon",g,ARM,2815,0,2014,32,2014-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2877,9,2014,24,2014-07-01,72.0
2,"Aronian, Levon",g,ARM,2805,9,2014,32,2014-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2877,0,2014,24,2014-08-01,72.0
2,"Aronian, Levon",g,ARM,2805,0,2014,32,2014-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2870,9,2014,24,2014-09-01,66.0
2,"Aronian, Levon",g,ARM,2804,10,2014,32,2014-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,10,2014,24,2014-10-01,19.0
2,"Caruana, Fabiano",g,ITA,2844,16,2014,22,2014-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2014,24,2014-11-01,24.0
2,"Caruana, Fabiano",g,ITA,2839,11,2014,22,2014-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,11,2014,24,2014-12-01,33.0
2,"Caruana, Fabiano",g,ITA,2829,11,2014,22,2014-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2015,25,2015-01-01,42.0
2,"Caruana, Fabiano",g,ITA,2820,5,2015,23,2015-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2865,13,2015,25,2015-02-01,54.0
2,"Caruana, Fabiano",g,ITA,2811,13,2015,23,2015-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,7,2015,25,2015-03-01,61.0
2,"Caruana, Fabiano",g,ITA,2802,12,2015,23,2015-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2015,25,2015-04-01,61.0
2,"Caruana, Fabiano",g,ITA,2802,0,2015,23,2015-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2876,9,2015,25,2015-05-01,72.0
2,"Anand, Viswanathan",g,IND,2804,9,2015,46,2015-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2876,0,2015,25,2015-06-01,71.0
2,"Caruana, Fabiano",g,ITA,2805,11,2015,23,2015-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2853,9,2015,25,2015-07-01,37.0
2,"Anand, Viswanathan",g,IND,2816,9,2015,46,2015-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2853,0,2015,25,2015-08-01,37.0
2,"Anand, Viswanathan",g,IND,2816,0,2015,46,2015-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2853,0,2015,25,2015-09-01,37.0
2,"Anand, Viswanathan",g,IND,2816,0,2015,46,2015-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2850,9,2015,25,2015-10-01,34.0
2,"Nakamura, Hikaru",g,USA,2816,9,2015,28,2015-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2850,0,2015,25,2015-11-01,47.0
2,"Topalov, Veselin",g,BUL,2803,14,2015,40,2015-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2834,7,2015,25,2015-12-01,31.0
2,"Topalov, Veselin",g,BUL,2803,0,2015,40,2015-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2844,18,2016,26,2016-01-01,43.0
2,"Kramnik, Vladimir",g,RUS,2801,9,2016,41,2016-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2844,0,2016,26,2016-02-01,43.0
2,"Kramnik, Vladimir",g,RUS,2801,0,2016,41,2016-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2851,13,2016,26,2016-03-01,50.0
2,"Kramnik, Vladimir",g,RUS,2801,0,2016,41,2016-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2851,0,2016,26,2016-04-01,50.0
2,"Kramnik, Vladimir",g,RUS,2801,0,2016,41,2016-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2851,0,2016,26,2016-05-01,47.0
2,"Caruana, Fabiano",g,USA,2804,11,2016,24,2016-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2855,9,2016,26,2016-06-01,43.0
2,"Kramnik, Vladimir",g,RUS,2812,14,2016,41,2016-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2855,0,2016,26,2016-07-01,43.0
2,"Kramnik, Vladimir",g,RUS,2812,0,2016,41,2016-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2857,10,2016,26,2016-08-01,38.0
2,"Vachier-Lagrave, Maxime",g,FRA,2819,11,2016,26,2016-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2857,0,2016,26,2016-09-01,44.0
2,"Vachier-Lagrave, Maxime",g,FRA,2813,9,2016,26,2016-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2853,10,2016,26,2016-10-01,36.0
2,"Kramnik, Vladimir",g,RUS,2817,8,2016,41,2016-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2853,0,2016,26,2016-11-01,30.0
2,"Caruana, Fabiano",g,USA,2823,9,2016,24,2016-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2840,12,2016,26,2016-12-01,17.0
2,"Caruana, Fabiano",g,USA,2823,0,2016,24,2016-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2840,0,2017,27,2017-01-01,13.0
2,"Caruana, Fabiano",g,USA,2827,11,2017,25,2017-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2838,13,2017,27,2017-02-01,11.0
2,"Caruana, Fabiano",g,USA,2827,0,2017,25,2017-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2838,0,2017,27,2017-03-01,16.0
2,"So, Wesley",g,USA,2822,0,2017,24,2017-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2838,0,2017,27,2017-04-01,16.0
2,"So, Wesley",g,USA,2822,0,2017,24,2017-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2832,7,2017,27,2017-05-01,17.0
2,"So, Wesley",g,USA,2815,11,2017,24,2017-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2832,0,2017,27,2017-06-01,20.0
2,"So, Wesley",g,USA,2812,9,2017,24,2017-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2822,9,2017,27,2017-07-01,10.0
2,"Kramnik, Vladimir",g,RUS,2812,9,2017,42,2017-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2822,0,2017,27,2017-08-01,12.0
2,"So, Wesley",g,USA,2810,0,2017,24,2017-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2827,9,2017,27,2017-09-01,23.0
2,"Vachier-Lagrave, Maxime",g,FRA,2804,9,2017,27,2017-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2826,6,2017,27,2017-10-01,25.0
2,"Aronian, Levon",g,ARM,2801,16,2017,35,2017-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2837,9,2017,27,2017-11-01,36.0
2,"Aronian, Levon",g,ARM,2801,0,2017,35,2017-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2837,0,2017,27,2017-12-01,32.0
2,"Aronian, Levon",g,ARM,2805,16,2017,35,2017-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2834,9,2018,28,2018-01-01,23.0
2,"Caruana, Fabiano",g,USA,2811,9,2018,26,2018-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,13,2018,28,2018-02-01,29.0
2,"Mamedyarov, Shakhriyar",g,AZE,2814,13,2018,33,2018-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,0,2018,28,2018-03-01,34.0
2,"Mamedyarov, Shakhriyar",g,AZE,2809,2,2018,33,2018-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,0,2018,28,2018-04-01,29.0
2,"Mamedyarov, Shakhriyar",g,AZE,2814,14,2018,33,2018-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,18,2018,28,2018-05-01,21.0
2,"Caruana, Fabiano",g,USA,2822,20,2018,26,2018-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2843,0,2018,28,2018-06-01,27.0
2,"Caruana, Fabiano",g,USA,2816,1,2018,26,2018-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2842,8,2018,28,2018-07-01,20.0
2,"Caruana, Fabiano",g,USA,2822,8,2018,26,2018-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2842,0,2018,28,2018-08-01,20.0
2,"Caruana, Fabiano",g,USA,2822,0,2018,26,2018-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2839,19,2018,28,2018-09-01,12.0
2,"Caruana, Fabiano",g,USA,2827,9,2018,26,2018-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2839,0,2018,28,2018-10-01,12.0
2,"Caruana, Fabiano",g,USA,2827,0,2018,26,2018-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2835,6,2018,28,2018-11-01,3.0
2,"Caruana, Fabiano",g,USA,2832,10,2018,26,2018-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2835,12,2018,28,2018-12-01,3.0
2,"Caruana, Fabiano",g,USA,2832,12,2018,26,2018-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2835,0,2019,29,2019-01-01,7.0
2,"Caruana, Fabiano",g,USA,2828,4,2019,27,2019-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2845,13,2019,29,2019-02-01,17.0
2,"Caruana, Fabiano",g,USA,2828,0,2019,27,2019-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2845,0,2019,29,2019-03-01,17.0
2,"Caruana, Fabiano",g,USA,2828,0,2019,27,2019-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2845,0,2019,29,2019-04-01,26.0
2,"Caruana, Fabiano",g,USA,2819,3,2019,27,2019-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2861,9,2019,29,2019-05-01,45.0
2,"Caruana, Fabiano",g,USA,2816,11,2019,27,2019-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2875,9,2019,29,2019-06-01,56.0
2,"Caruana, Fabiano",g,USA,2819,9,2019,27,2019-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,9,2019,29,2019-07-01,53.0
2,"Caruana, Fabiano",g,USA,2819,9,2019,27,2019-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2882,11,2019,29,2019-08-01,64.0
2,"Caruana, Fabiano",g,USA,2818,11,2019,27,2019-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2876,11,2019,29,2019-09-01,64.0
2,"Caruana, Fabiano",g,USA,2812,11,2019,27,2019-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2876,0,2019,29,2019-10-01,64.0
2,"Caruana, Fabiano",g,USA,2812,0,2019,27,2019-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2870,11,2019,29,2019-11-01,48.0
2,"Caruana, Fabiano",g,USA,2822,11,2019,27,2019-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,2,2019,29,2019-12-01,50.0
2,"Caruana, Fabiano",g,USA,2822,0,2019,27,2019-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2872,4,2020,30,2020-01-01,50.0
2,"Caruana, Fabiano",g,USA,2822,0,2020,28,2020-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,13,2020,30,2020-02-01,20.0
2,"Caruana, Fabiano",g,USA,2842,13,2020,28,2020-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2020,30,2020-03-01,20.0
2,"Caruana, Fabiano",g,USA,2842,0,2020,28,2020-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,1,2020,30,2020-04-01,28.0
2,"Caruana, Fabiano",g,USA,2835,7,2020,28,2020-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2020,30,2020-05-01,28.0
2,"Caruana, Fabiano",g,USA,2835,0,2020,28,2020-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2020,30,2020-06-01,28.0
2,"Caruana, Fabiano",g,USA,2835,0,2020,28,2020-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2020,30,2020-07-01,28.0
2,"Caruana, Fabiano",g,USA,2835,0,2020,28,2020-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2020,30,2020-08-01,28.0
2,"Caruana, Fabiano",g,USA,2835,0,2020,28,2020-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2020,30,2020-09-01,28.0
2,"Caruana, Fabiano",g,USA,2835,0,2020,28,2020-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2863,0,2020,30,2020-10-01,35.0
2,"Caruana, Fabiano",g,USA,2828,5,2020,28,2020-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,10,2020,30,2020-11-01,39.0
2,"Caruana, Fabiano",g,USA,2823,10,2020,28,2020-11-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2020,30,2020-12-01,39.0
2,"Caruana, Fabiano",g,USA,2823,0,2020,28,2020-12-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2021,31,2021-01-01,39.0
2,"Caruana, Fabiano",g,USA,2823,0,2021,29,2021-01-01,0.0
1,"Carlsen, Magnus",g,NOR,2862,0,2021,31,2021-02-01,39.0
2,"Caruana, Fabiano",g,USA,2823,0,2021,29,2021-02-01,0.0
1,"Carlsen, Magnus",g,NOR,2847,13,2021,31,2021-03-01,27.0
2,"Caruana, Fabiano",g,USA,2820,13,2021,29,2021-03-01,0.0
1,"Carlsen, Magnus",g,NOR,2847,0,2021,31,2021-04-01,27.0
2,"Caruana, Fabiano",g,USA,2820,0,2021,29,2021-04-01,0.0
1,"Carlsen, Magnus",g,NOR,2847,0,2021,31,2021-05-01,27.0
2,"Caruana, Fabiano",g,USA,2820,7,2021,29,2021-05-01,0.0
1,"Carlsen, Magnus",g,NOR,2847,0,2021,31,2021-06-01,27.0
2,"Caruana, Fabiano",g,USA,2820,0,2021,29,2021-06-01,0.0
1,"Carlsen, Magnus",g,NOR,2847,0,2021,31,2021-07-01,41.0
2,"Caruana, Fabiano",g,USA,2806,9,2021,29,2021-07-01,0.0
1,"Carlsen, Magnus",g,NOR,2847,0,2021,31,2021-08-01,41.0
2,"Caruana, Fabiano",g,USA,2806,0,2021,29,2021-08-01,0.0
1,"Carlsen, Magnus",g,NOR,2855,14,2021,31,2021-09-01,55.0
2,"Caruana, Fabiano",g,USA,2800,12,2021,29,2021-09-01,0.0
1,"Carlsen, Magnus",g,NOR,2855,13,2021,31,2021-10-01,55.0
2,"Caruana, Fabiano",g,USA,2800,0,2021,29,2021-10-01,0.0
1,"Carlsen, Magnus",g,NOR,2855,0,2021,31,2021-11-01,56.0
2,"Ding, Liren",g,CHN,2799,0,2021,29,2021-11-01,
